"ID","PROVINCE","BEDS PER 1000 HABITANTS"
"1","µLAVA","3.41687064349"
"2","ALBACETE","2.72049210679"
"3","ALICANTE","2.41699216137"
"4","ALMER÷A","1.80137040964"
"5","µVILA","2.57461904619"
"6","BADAJOZ","3.42726966157"
"7","ILLES BALEARS","2.30823187807"
"8","BARCELONA","1.93291410381"
"9","BURGOS","2.66830198964"
"10","CµCERES","3.19302769982"
"11","CµDIZ","1.73927066745"
"12","CASTELL‡N","2.45783887198"
"13","CIUDAD REAL","2.91178242269"
"14","C‡RDOBA","1.49372977793"
"15","A CORU•A","16.2883407488"
"16","CUENCA","0.576600595644"
"17","GIRONA","1.87284858965"
"18","GRANADA","7.36025306742"
"19","GUADALAJARA","1.04034409661"
"20","GUIPÈZCOA","3.05260299405"
"21","HUELVA","4.4417964599"
"22","HUESCA","1.08340553508"
"23","JAêN","2.83684138859"
"24","LE‡N","3.38812011845"
"25","LLEIDA","2.5642472461"
"26","LA RIOJA","2.65209425"
"27","LUGO","0.17600287554"
"28","MADRID","9.02298935614"
"29","MALAGA","1.71868629919"
"30","MURCIA","5.03285007569"
"31","NAVARRA","4.45247026774"
"32","OURENSE","1.0200083635"
"33","ASTURIAS","16.7174793716"
"34","PALENCIA","0.449988954817"
"35","LAS PALMAS","2.60695180136"
"36","PONTEVEDRA","5.73791315165"
"37","SALAMANCA","0.952439718627"
"38","SANTA CRUZ DE TENERIFE","4.17051724607"
"39","CANTABRIA","8.36142445528"
"40","SEGOVIA","0.222009884848"
"41","SEVILLA","35.7619197363"
"42","SORIA","2.39375912799"
"43","TARRAGONA","2.3047285639"
"44","TERUEL","0.670501199647"
"45","TOLEDO","2.17983339436"
"46","VALENCIA","2.09306139359"
"47","VALLADOLID","2.90273019161"
"48","VIZCAYA","2.66341408363"
"49","ZAMORA","3.23568747573"
"50","ZARAGOZA","3.26941364071"
"51","CEUTA","2.96599696338"
"52","MELILLA","2.01162006414"
